tool_name,neighbor_name,similarity,rank
getRealtimeCity,getRealtimeCityAQI,0.916744,1
getRealtimeCity,getCityForecast,0.887428,2
getRealtimeCity,getHistoricalCity,0.88523,3
getRealtimeCity,getCityAQIForecast,0.875448,4
getRealtimeCity,getHistoricalCityAQI,0.847101,5
getHistoricalCity,getCityForecast,0.957655,1
getHistoricalCity,getHistoricalCityAQI,0.954367,2
getHistoricalCity,getCityAQIForecast,0.930676,3
getHistoricalCity,getRealtimeCity,0.88523,4
getHistoricalCity,getCityShow,0.882014,5
getCityForecast,getHistoricalCity,0.957655,1
getCityForecast,getCityAQIForecast,0.955572,2
getCityForecast,getHistoricalCityAQI,0.903903,3
getCityForecast,getRealtimeCity,0.887428,4
getCityForecast,getCityShow,0.879737,5
getRealtimeCityAQI,getRealtimeCity,0.916744,1
getRealtimeCityAQI,getHistoricalCityAQI,0.896297,2
getRealtimeCityAQI,getCityAQIForecast,0.860226,3
getRealtimeCityAQI,getHistoricalCity,0.829594,4
getRealtimeCityAQI,getCityForecast,0.813388,5
getHistoricalCityAQI,getHistoricalCity,0.954367,1
getHistoricalCityAQI,getCityAQIForecast,0.921985,2
getHistoricalCityAQI,getCityForecast,0.903903,3
getHistoricalCityAQI,getRealtimeCityAQI,0.896297,4
getHistoricalCityAQI,getRealtimeCity,0.847101,5
getCityAQIForecast,getCityForecast,0.955572,1
getCityAQIForecast,getHistoricalCity,0.930676,2
getCityAQIForecast,getHistoricalCityAQI,0.921985,3
getCityAQIForecast,getRealtimeCity,0.875448,4
getCityAQIForecast,getRealtimeCityAQI,0.860226,5
getCityShow,getHistoricalCity,0.882014,1
getCityShow,getCityForecast,0.879737,2
getCityShow,getCityAQIForecast,0.852798,3
getCityShow,getRealtimeCity,0.845456,4
getCityShow,getHistoricalCityAQI,0.832344,5
getShowDetail,getCityShow,0.760691,1
getShowDetail,getRealtimeCity,0.665,2
getShowDetail,getHistoricalCity,0.643684,3
getShowDetail,getCityForecast,0.640647,4
getShowDetail,getRealtimeCityAQI,0.621284,5
getPopulationAndEmploymentData,getParliamentDebates,0.72345,1
getPopulationAndEmploymentData,getWeatherForecast,0.691213,2
getPopulationAndEmploymentData,getDutchPopulationStatistics,0.622927,3
getPopulationAndEmploymentData,getSchoolsAndUniversitiesInfo,0.577363,4
getPopulationAndEmploymentData,getStatistics,0.569881,5
getSchoolsAndUniversitiesInfo,getParliamentDebates,0.581848,1
getSchoolsAndUniversitiesInfo,getPopulationAndEmploymentData,0.577363,2
getSchoolsAndUniversitiesInfo,SearchGermanGovDatasets,0.523518,3
getSchoolsAndUniversitiesInfo,getLatestUpdates,0.500044,4
getSchoolsAndUniversitiesInfo,getWeatherForecast,0.492812,5
getWeatherForecast,getPopulationAndEmploymentData,0.691213,1
getWeatherForecast,getParliamentDebates,0.632805,2
getWeatherForecast,getForecast,0.580596,3
getWeatherForecast,getClimatePatterns,0.549304,4
getWeatherForecast,getRealTimeWeather,0.534408,5
getParliamentDebates,getPopulationAndEmploymentData,0.72345,1
getParliamentDebates,getWeatherForecast,0.632805,2
getParliamentDebates,getSchoolsAndUniversitiesInfo,0.581848,3
getParliamentDebates,getDatasetMetadata,0.426504,4
getParliamentDebates,getLatestDatasets,0.414014,5
getBudgets,syncTransactions,0.830699,1
getBudgets,createTransaction,0.734998,2
getBudgets,updateTransaction,0.664403,3
getBudgets,processPayment_by_id,0.474064,4
getBudgets,getBlockchainData,0.47126,5
createTransaction,updateTransaction,0.944961,1
createTransaction,syncTransactions,0.814969,2
createTransaction,getBudgets,0.734998,3
createTransaction,GetTransactionHistory,0.559661,4
createTransaction,processPayment_by_id,0.549721,5
syncTransactions,getBudgets,0.830699,1
syncTransactions,createTransaction,0.814969,2
syncTransactions,updateTransaction,0.733641,3
syncTransactions,processPayment_by_id,0.454653,4
syncTransactions,GetTransactionHistory,0.443287,5
updateTransaction,createTransaction,0.944961,1
updateTransaction,syncTransactions,0.733641,2
updateTransaction,getBudgets,0.664403,3
updateTransaction,GetTransactionHistory,0.531482,4
updateTransaction,processPayment_by_id,0.523864,5
getDetailedInfoByIP,getLocationByIP,0.92665,1
getDetailedInfoByIP,getDomainByIP,0.890072,2
getDetailedInfoByIP,getCountryInfo,0.718736,3
getDetailedInfoByIP,getCountryByIP,0.708746,4
getDetailedInfoByIP,getRegionInfo,0.697368,5
getDomainByIP,getDetailedInfoByIP,0.890072,1
getDomainByIP,getLocationByIP,0.860517,2
getDomainByIP,getCountryByIP,0.680228,3
getDomainByIP,getGreetingByIP,0.632347,4
getDomainByIP,getIpLocation,0.630172,5
getLocationByIP,getDetailedInfoByIP,0.92665,1
getLocationByIP,getDomainByIP,0.860517,2
getLocationByIP,getIpLocation,0.757388,3
getLocationByIP,getGeoLocation,0.755101,4
getLocationByIP,getCountryInfo,0.742076,5
biometricLogin,emailLogin,0.888985,1
biometricLogin,customizeLoginScreen,0.853679,2
